Trial,Start,Goal
dsp1_02,N,S
dsp1_03,R,O
dsp1_04,R,M
dsp1_05,W,P
dsp1_06,W,Q
dsp1_07,V,M
dsp1_08,V,T
dsp1_09,U,N
dsp1_10,U,O
dsp1_11,S,T
dsp1_13,X,R
dsp1_14,X,P
dsp1_16,O,Q
dsp1_17,M,S
dsp1_18,M,N
dsp1_19,P,U
dsp1_21,T,W
dsp1_22,T,X
dsp1_23,Q,U
dsp1_24,Q,V
dsp2_02,C,I
dsp2_03,B,L
dsp2_04,B,J
dsp2_05,A,G
dsp2_06,A,F
dsp2_07,D,J
dsp2_08,D,E
dsp2_09,H,C
dsp2_10,H,L
dsp2_11,I,E
dsp2_13,K,B
dsp2_14,K,G
dsp2_16,L,F
dsp2_17,J,I
dsp2_18,J,C
dsp2_19,G,H
dsp2_21,E,A
dsp2_22,E,K
dsp2_23,F,H
dsp2_24,F,D
